doy,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
34,0.232,0.219,0.235,0.261,0.262,0.166,0.227,0.545,0.143,0.14,0.141,0.243,0.167,0.134,0.141,0.217,0.316,0.12,0.188,0.179,0.155,0.366,0.307
35,0.236,0.207,0.28,0.257,0.356,0.133,0.271,0.528,0.138,0.368,0.15,0.234,0.166,0.144,0.132,0.201,0.304,0.116,0.195,0.174,0.142,0.393,0.398
36,0.237,0.205,0.29,0.254,0.375,0.121,0.347,0.452,0.116,0.4,0.136,0.222,0.166,0.146,0.104,0.218,0.282,0.106,0.18,0.174,0.124,0.379,0.421
37,0.206,0.183,0.289,0.241,0.429,0.108,0.352,0.402,0.112,0.425,0.121,0.216,0.168,0.143,0.1,0.252,0.277,0.097,0.177,0.156,0.105,0.352,0.525
38,0.201,0.173,0.261,0.241,0.478,0.115,0.358,0.352,0.098,0.397,0.117,0.215,0.144,0.12,0.09,0.251,0.25,0.085,0.167,0.162,0.095,0.306,0.536
39,0.202,0.165,0.278,0.23,0.466,0.234,0.323,0.326,0.128,0.376,0.122,0.232,0.137,0.104,0.092,0.237,0.243,0.08,0.151,0.174,0.095,0.279,0.585
40,0.198,0.148,0.28,0.228,0.485,0.342,0.303,0.3,0.21,0.332,0.107,0.211,0.137,0.069,0.09,0.224,0.227,0.064,0.156,0.175,0.09,0.283,0.536
41,0.18,0.143,0.262,0.214,0.474,0.337,0.282,0.281,0.196,0.221,0.095,0.23,0.13,0.059,0.103,0.219,0.224,0.061,0.167,0.259,0.086,0.298,0.491
42,0.178,0.137,0.266,0.207,0.44,0.32,0.238,0.292,0.187,0.102,0.092,0.207,0.138,0.039,0.139,0.197,0.182,0.056,0.169,0.263,0.074,0.295,0.459
43,0.176,0.135,0.272,0.187,0.429,0.341,0.223,0.287,0.179,0.102,0.078,0.205,0.139,0.029,0.388,0.189,0.181,0.052,0.166,0.333,0.08,0.278,0.419
44,0.167,0.124,0.272,0.215,0.416,0.338,0.213,0.284,0.165,0.096,0.073,0.214,0.136,0.024,0.351,0.147,0.174,0.051,0.166,0.236,0.078,0.263,0.398
45,0.163,0.124,0.269,0.353,0.4,0.363,0.218,0.23,0.145,0.092,0.063,0.22,0.14,0.024,0.351,0.145,0.198,0.051,0.18,0.192,0.065,0.256,0.372
46,0.166,0.112,0.179,0.392,0.387,0.382,0.218,0.23,0.122,0.091,0.084,0.221,0.159,0.027,0.352,0.131,0.203,0.056,0.188,0.162,0.057,0.251,0.366
47,0.169,0.113,0.165,0.424,0.372,0.395,0.137,0.205,0.122,0.078,0.094,0.229,0.172,0.027,0.347,0.121,0.2,0.071,0.188,0.158,0.055,0.232,0.348
48,0.13,0.103,0.16,0.476,0.339,0.376,0.133,0.232,0.138,0.063,0.094,0.558,0.16,0.024,0.344,0.108,0.192,0.143,0.175,0.143,0.127,0.222,0.335
49,0.117,0.092,0.154,0.472,0.331,0.348,0.155,0.417,0.17,0.035,0.094,0.544,0.162,0.019,0.489,0.105,0.192,0.158,0.183,0.154,0.297,0.209,
50,0.124,0.089,0.175,0.452,0.282,0.317,0.153,0.43,0.211,0.028,0.086,0.541,0.146,0.017,0.56,,0.193,0.15,0.163,0.131,0.358,0.209,
51,0.143,0.083,0.203,0.421,0.268,0.293,0.146,0.438,0.305,0.028,0.117,0.535,0.129,0.014,0.575,,0.192,0.147,0.172,0.135,0.428,0.196,
52,0.147,0.077,0.261,0.383,0.174,0.198,0.146,0.409,0.307,0.037,0.122,0.5,0.125,0.012,0.582,,0.18,0.137,0.169,0.12,0.401,0.19,
53,0.163,0.072,0.466,0.38,0.171,0.157,0.148,0.371,0.291,0.041,0.102,0.486,0.127,0.012,0.565,,0.15,0.123,0.167,0.109,0.37,0.178,
54,0.231,0.075,0.371,0.384,0.169,0.151,0.144,0.367,0.25,0.042,0.086,0.463,0.122,0.012,0.53,,0.147,0.091,0.146,0.129,0.323,0.173,
55,0.204,0.093,0.366,0.334,0.166,0.136,0.143,0.348,0.235,0.047,0.088,0.411,0.115,0.012,0.506,,0.147,0.093,0.14,0.131,0.267,0.163,
56,0.189,0.1,0.615,0.301,0.157,0.131,0.132,0.262,0.217,0.054,0.083,0.314,0.103,0.027,0.308,,0.14,0.081,0.143,0.128,0.249,0.155,
57,0.174,0.097,0.596,0.276,0.141,0.113,0.13,0.195,0.217,0.072,0.114,0.289,0.095,0.046,0.228,,0.137,0.079,0.158,0.117,0.212,0.154,
58,0.174,0.097,0.586,0.236,0.127,0.086,0.13,0.191,0.234,0.129,0.114,0.287,0.097,0.043,0.221,,0.124,0.062,0.205,0.118,0.191,0.154,
59,0.168,0.088,0.568,0.207,0.121,0.07,0.123,0.189,0.252,0.14,0.106,0.268,0.096,0.049,0.213,0.041,0.119,0.06,0.254,0.145,0.17,0.164,
60,0.154,0.084,0.54,0.175,0.114,0.071,0.122,0.188,0.253,0.118,0.088,0.281,0.093,0.055,0.208,0.041,0.116,0.055,0.258,0.155,0.157,0.18,
61,0.128,0.076,0.524,0.17,0.097,0.073,0.117,0.175,0.19,0.109,0.083,0.326,0.087,0.047,0.154,0.039,0.121,0.054,0.256,0.148,0.143,0.19,
62,0.124,0.069,0.463,0.17,0.089,0.076,0.104,0.166,0.245,0.099,0.083,0.481,0.08,0.022,0.152,0.034,0.127,0.051,0.252,0.138,0.109,0.159,
63,0.107,0.069,0.386,0.133,0.087,0.068,0.093,0.151,0.23,0.092,0.083,0.49,0.078,0.017,0.143,0.046,0.127,0.039,0.226,0.13,0.115,0.144,
64,0.106,0.052,0.275,0.077,0.087,0.069,0.097,0.148,0.22,0.072,0.083,0.477,0.084,0.014,0.132,0.046,0.116,0.034,0.164,0.121,0.115,0.162,
65,0.099,0.051,0.247,0.1,0.066,0.066,0.094,0.136,0.197,0.042,0.073,0.457,0.082,0.017,0.127,0.039,0.106,0.034,0.162,0.113,0.102,0.146,
66,0.094,0.049,0.244,0.106,0.068,0.071,0.102,0.129,0.185,0.04,0.084,0.434,0.077,0.009,0.119,0.039,0.094,0.034,0.159,0.105,0.087,0.119,
67,0.091,0.047,0.199,0.105,0.061,0.178,0.089,0.126,0.177,0.023,0.116,0.385,0.071,0.009,0.106,0.035,0.091,0.029,0.151,0.095,0.082,0.114,
68,0.088,0.035,0.199,0.104,0.052,0.222,0.084,0.102,0.17,0.021,0.245,0.358,0.069,0.032,0.093,0.032,0.092,0.027,0.146,0.088,0.073,0.118,
69,0.084,0.032,0.202,0.106,0.133,0.244,0.079,0.09,0.137,0.021,0.353,0.315,0.065,0.037,0.087,0.029,0.074,0.024,0.146,0.089,0.082,0.122,
70,0.066,0.03,0.204,0.114,0.143,0.231,0.07,0.079,0.103,0.016,0.349,0.301,0.068,0.062,0.073,0.026,0.079,0.021,0.141,0.085,0.094,0.115,
71,0.066,0.026,0.195,0.101,0.139,0.196,0.071,0.067,0.094,0.016,0.339,0.282,0.061,0.109,0.053,0.023,0.059,0.019,0.134,0.076,0.111,0.082,
72,0.064,0.024,0.193,0.101,0.139,0.145,0.071,0.076,0.09,0.014,0.327,0.25,0.052,0.179,0.051,0.021,0.069,0.019,0.133,0.064,0.096,0.219,
73,0.057,0.022,0.185,0.098,0.135,0.125,0.079,0.092,0.097,0.014,0.297,0.227,0.053,0.174,0.043,0.026,0.058,0.026,0.166,0.062,0.073,0.307,
74,0.057,0.02,0.182,0.093,0.125,0.135,0.13,0.104,0.098,0.01,0.271,0.17,0.051,0.157,0.04,0.038,0.061,0.022,0.148,0.064,0.073,0.304,
75,0.055,0.02,0.177,0.097,0.108,0.107,0.171,0.099,0.099,0.012,0.233,0.255,0.052,0.151,0.037,0.06,0.088,0.022,0.139,0.051,0.059,0.297,
76,0.053,0.016,0.17,0.094,0.087,0.088,0.171,0.084,0.099,0.017,0.205,0.259,0.072,0.141,0.037,0.067,0.088,0.018,0.129,0.049,0.04,0.297,
77,0.046,0.016,0.165,0.095,0.078,0.079,0.139,0.072,0.099,0.032,0.174,0.252,0.082,0.123,0.038,0.056,0.084,0.017,0.119,0.054,0.043,0.295,
78,0.044,0.016,0.165,0.093,0.076,0.069,0.115,0.062,0.094,0.032,0.152,0.246,0.082,0.079,0.034,0.047,0.072,0.017,0.115,0.088,0.043,0.283,
79,0.046,,0.177,0.087,0.071,0.043,0.109,0.062,0.11,0.029,0.128,0.231,0.08,0.044,0.107,0.053,0.067,0.017,0.11,0.122,0.038,0.243,
80,0.046,,0.16,0.091,0.059,0.04,0.085,0.055,0.11,0.024,0.1,0.216,0.068,0.029,0.127,0.048,0.06,0.014,0.109,0.12,0.032,0.032,
81,0.034,,0.126,0.087,0.057,0.035,0.076,0.044,0.101,0.017,0.038,0.199,0.064,0.022,0.132,0.041,0.066,0.012,0.1,0.115,0.035,0.121,
82,0.044,,0.14,0.091,0.053,0.038,0.063,0.042,0.129,0.017,0.067,0.186,0.06,0.022,0.133,0.034,0.06,0.012,0.091,0.108,0.032,0.298,
83,0.049,,0.238,0.085,0.044,0.033,0.066,0.04,0.147,0.014,0.076,0.173,0.052,0.019,0.111,0.036,0.06,0.012,0.091,0.106,0.035,0.296,
84,0.049,,0.203,0.083,0.044,0.035,0.053,0.034,0.155,0.014,0.076,0.166,0.038,0.013,0.082,0.035,0.058,0.01,0.069,0.101,0.129,0.289,
85,0.034,,0.196,0.083,0.042,0.021,0.059,0.022,0.154,0.012,0.074,0.158,0.036,0.014,0.065,0.032,0.056,0.013,0.057,0.074,0.139,0.273,
86,0.029,,0.208,0.072,0.042,0.021,0.06,0.028,0.131,0.012,0.074,0.146,0.036,0.012,0.057,0.029,0.051,0.008,0.027,0.057,0.138,0.251,
87,0.029,0.328,0.203,0.06,0.042,0.024,0.057,0.025,0.137,0.009,0.074,0.139,0.031,0.009,0.049,0.041,0.045,0.012,0.029,0.046,0.132,0.22,
88,0.027,0.287,0.2,0.051,0.038,0.024,0.045,0.022,0.129,0.009,0.074,0.126,0.025,0.009,0.041,0.093,0.044,0.014,0.031,0.047,0.115,0.204,
89,0.023,0.247,0.193,0.039,0.031,0.019,0.04,0.017,0.122,0.005,0.054,0.133,0.025,0.022,0.021,0.096,0.041,0.012,0.036,0.035,0.096,0.164,
90,0.021,0.179,0.171,0.036,0.031,0.019,0.047,0.018,0.115,0.003,0.045,0.111,0.031,0.024,0.022,0.086,0.04,0.017,0.071,0.031,0.089,0.151,
91,0.017,0.198,0.158,0.036,0.025,0.026,0.047,0.024,0.102,0.004,0.041,0.123,0.025,0.018,0.021,0.062,0.038,0.012,0.087,0.026,0.088,0.142,
92,0.017,0.089,0.138,0.04,0.098,0.026,0.041,0.026,0.094,0.003,0.046,0.131,0.015,0.013,0.022,0.037,0.034,0.012,0.087,0.027,0.072,0.134,
