doy,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
35,0.597,0.693,0.785,0.866,0.508,0.597,0.831,0.881,0.597,0.879,0.474,0.785,0.597,0.524,0.597,0.69,0.881,0.597,0.879,0.597,0.597,0.881,0.789
36,0.658,0.597,0.879,0.866,0.508,0.597,0.879,0.881,0.597,0.956,0.474,0.785,0.597,0.524,0.597,0.767,0.879,0.597,0.785,0.597,0.597,0.881,0.789
37,0.597,0.597,0.879,0.787,0.508,0.597,0.879,0.879,0.597,0.956,0.474,0.785,0.597,0.524,0.597,0.956,0.879,0.597,0.785,0.597,0.524,0.881,0.83
38,0.597,0.597,0.879,0.787,0.848,0.597,0.881,0.881,0.565,0.881,0.474,0.785,0.597,0.524,0.631,0.956,0.879,0.597,0.688,0.597,0.524,0.881,0.894
39,0.597,0.597,0.879,0.787,0.848,0.597,0.881,0.881,0.688,0.881,0.474,0.866,0.597,0.524,0.631,0.881,0.879,0.524,0.657,0.597,0.524,0.881,0.997
40,0.597,0.658,0.879,0.69,0.952,0.881,0.881,0.879,0.899,0.881,0.474,0.662,0.597,0.44,0.717,0.879,0.879,0.474,0.735,0.628,0.524,0.881,0.996
41,0.597,0.658,0.879,0.693,0.952,0.881,0.881,0.879,0.834,0.869,0.42,0.662,0.597,0.344,0.717,0.879,0.782,0.474,0.597,,0.524,0.881,0.857
42,0.597,0.597,0.869,0.693,0.952,0.881,0.881,0.866,0.759,0.474,0.42,0.662,0.671,0.079,0,0.879,0.732,0.474,0.597,,0.524,0.881,0.865
43,0.597,0.597,0.869,0.72,0.881,0.881,0.879,0.85,0.688,0.474,0.303,0.662,0.671,0.079,1,0.787,0.732,0.474,0.597,,0.524,0.881,0.865
44,0.597,0.597,0.869,0.785,0.881,0.881,0.879,0.85,0.597,0.474,0.303,0.662,0.597,0.079,0.894,0.597,0.732,0.342,0.597,,0.474,0.879,0.865
45,0.597,0.597,0.869,0.696,0.881,0.881,0.879,0.615,0.597,0.474,0.303,0.662,0.597,0.079,0.894,0.597,0.854,0.342,0.597,1,0.474,0.881,0.865
46,0.565,0.597,0.339,0.723,0.881,0.881,0.879,0.609,0.565,0.474,0.428,0.662,0.599,0,0.894,0.597,0.869,0.342,0.688,1,0.474,0.881,0.863
47,0.565,0.597,0.339,0.432,0.881,0.881,0.729,0.609,0.565,0.474,0.428,1,0.599,0.079,0.894,0.597,0.869,0.524,0.688,1,0.394,0.881,0.863
48,0,0.597,0.792,0.752,0.881,0.881,0.729,0.609,0.565,0.394,0.524,0.816,0.761,0.079,0.894,0.597,0.869,0.597,0.837,1,0.331,0.869,0.867
49,0,0.597,0.792,0.951,0.881,0.881,0.597,0.879,0.659,0.331,0.524,0.881,0.599,0.079,0.947,0.597,0.789,0.597,0.628,1,0.613,0.869,
50,0,0.524,0.792,0.869,0.881,0.881,0.597,0.881,1,0.242,0.524,0.881,0.599,0.079,0.859,,0.787,0.597,0.626,1,0.685,0.869,
51,0.31,0.474,1,0.869,0.881,0.881,0.597,0.881,1,0.242,0.524,0.881,0.599,0,0.956,,0.69,0.597,0.658,1,0.881,0.869,
52,0.31,0.554,1,0.869,0.853,0.693,0.597,0.881,1,0.297,0.452,0.881,0.599,0,0.956,,0.597,0.597,0.658,0.689,0.881,0.869,
53,0.685,0.474,1,0.881,0.762,0.597,0.597,0.881,1,0.297,0.524,0.881,0.597,0,0.956,,0.597,0.524,0.658,0.641,0.881,0.866,
54,0.853,0.42,0.655,0.881,0.69,0.597,0.597,0.881,0.839,0.297,0.524,0.881,0.597,0,0.956,,0.597,0.524,0.597,0.614,0.881,0.866,
55,0.853,0.524,0.655,0.869,0.69,0.597,0.597,0.881,0.839,0.314,0.524,0.881,0.597,0,0.956,,0.597,0.524,0.597,0.565,0.881,0.759,
56,0.765,0.524,0.945,0.869,0.69,0.597,0.597,0.881,0.839,0.314,0.524,0.881,0.474,0.079,0.881,,0.597,0.428,0.597,0.565,0.879,0.732,
57,0.765,0.524,0.956,0.866,0.658,0.597,0.597,0.854,0.839,0.314,0.428,0.881,0.474,0.428,0.868,,0.597,0.428,0.597,0.565,0.879,0.732,
58,0.597,0.524,0.956,0.866,0.597,0.597,0.597,0.854,0.839,0.597,0.428,0.785,0.474,0.428,0.868,,0.597,0.302,0.597,0.565,0.782,0.732,
59,0.597,0.597,0.956,0.866,0.597,0.515,0.597,0.854,0.839,0.597,0.428,0.785,0.474,0.428,0.868,0.344,0.597,0.302,0.69,0.597,0.69,0.752,
60,0.597,0.597,0.956,0.866,0.597,0.554,0.597,0.854,0.854,0.597,0.428,0.699,0.474,0.428,0.868,0.344,0.597,0.302,0.69,0.597,0.69,0.752,
61,0.597,0.524,0.956,0.866,0.597,0.554,0.597,0.767,0.88,0.597,0.428,0.659,0.474,0.332,0.785,0.344,0.597,0.248,0.698,0.597,0.69,0.752,
62,0.597,0.524,0.956,0.866,0.554,0.597,0.597,0.693,0.834,0.597,0.428,0.952,0.554,0.163,0.599,0.428,0.597,0.175,0.657,0.597,0.597,0,
63,0.597,0.428,0.881,0.851,0.554,0.597,0.597,0.597,0.765,0.597,0.428,0.881,0.554,0,0.597,0.428,0.597,0.175,0.764,0.597,0.597,0,
64,0.597,0.356,0.881,0,0.554,0.597,0.597,0.597,0.765,0.428,0.428,0.881,0.554,0,0.597,0.272,0.597,0.175,0.69,0.597,0.597,0.597,
65,0.524,0.428,0.869,0.617,0.53,0.597,0.597,0.597,0.765,0.284,0.428,0.881,0.554,0,0.597,0.272,0.597,0.175,0.69,0.597,0.597,0.597,
66,0.524,0.356,0.869,0.597,0.53,0.597,0.597,0.597,0.765,0.175,0.428,0.881,0.554,0,0.597,0.272,0.597,0.079,0.69,0.597,0.597,0.597,
67,0.524,0.287,0.834,0.597,0.53,0.879,0.597,0.597,0.658,0.175,0.384,0.881,0.474,0,0.597,0.248,0.597,0.079,0.597,0.597,0.597,0.597,
68,0.524,0.287,0.834,0.597,0.5,0.925,0.597,0.597,0.597,0.079,0.782,0.881,0.474,0,0.597,0.175,0.597,0.079,0.597,0.554,0.597,0.597,
69,0.524,0.194,0.834,0.597,0.73,0.925,0.597,0.524,0.597,0.079,0.881,0.881,0.474,0.079,0.554,0.175,0.597,0.079,0.597,0.554,0.524,0.597,
70,0.474,0.211,0.853,0.597,0.658,0.881,0.597,0.524,0.565,0,0.881,0.881,0.428,0.231,0.554,0.151,0.597,0.079,0.597,0.554,0.524,0.597,
71,0.474,0.211,0.784,0.597,0.597,0.879,0.524,0.42,0.565,0.079,0.881,0.881,0.428,0.434,0.5,0.079,0.554,0.079,0.597,0.554,0.524,,
72,0.474,0.175,0.782,0.597,0.597,0.879,0.474,0.524,0.565,0.079,0.881,0.879,0.376,0.597,0.428,0.079,0.508,0.079,0.597,0.474,0.524,0.75,
73,0.428,0.105,0.782,0.597,0.597,0.782,0.364,0.524,0.565,0.079,0.881,0.614,0.376,0.597,0.384,0.079,0.191,0.079,0.597,0.428,0.524,0.881,
74,0.376,0.105,0.782,0.597,0.597,0.782,0.597,0.524,0.597,0.079,0.881,0,0.376,0.597,0.356,0.079,0.191,0.079,0.597,0.428,0.524,0.881,
75,0.367,0,0.782,0.597,0.597,0.76,0.66,0.524,0.597,0,0.879,0.782,0.376,0.597,0.356,0.079,0.469,0.079,0.597,0.463,0.428,0.881,
76,0.367,0,0.782,0.597,0.524,0.732,0.66,0.428,0.597,0,0.879,0.881,0.428,0.597,0.356,0.151,0.469,0.079,0.597,0.463,0.376,0.881,
77,0.428,0,0.759,0.565,0.428,0.597,0.658,0.524,0.597,0.175,0.782,0.881,0.524,0.597,0.356,0.16,0.469,0,0.597,0.463,0.376,0.881,
