doy,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
35,0.63,0.63,0.63,0.63,0.616,0.428,0.7,0.805,0.428,0.63,0.375,0.63,0.428,0.342,0.428,0.529,0.63,0.342,0.63,0.375,0.342,0.705,0.772
36,0.63,0.529,0.63,0.63,0.616,0.428,0.789,0.705,0.342,0.63,0.342,0.63,0.428,0.342,0.375,0.63,0.63,0.342,0.63,0.375,0.342,0.705,0.772
37,0.63,0.529,0.63,0.63,0.616,0.428,0.789,0.705,0.342,0.783,0.342,0.63,0.428,0.342,0.375,0.63,0.63,0.342,0.63,0.375,0.342,0.705,0.772
38,0.529,0.529,0.63,0.63,1,0.428,0.789,0.63,0.381,0.705,0.342,0.63,0.428,0.342,0.375,0.63,0.63,0.342,0.529,0.375,0.342,0.705,0.627
39,0.529,0.529,0.63,0.63,1,0.63,0.789,0.63,0.381,0.705,0.342,0.63,0.428,0.342,0.375,0.63,0.63,0.342,0.476,0.375,0.342,0.705,0.709
40,0.63,0.48,0.63,0.529,0.889,0.63,0.73,0.63,0.553,0.63,0.342,0.588,0.428,0.342,0.622,0.63,0.63,0.342,0.464,0.375,0.342,0.705,0.729
41,0.529,0.48,0.63,0.529,0.889,0.63,0.63,0.63,0.48,0.63,0.342,0.63,0.443,0.342,0.622,0.63,0.63,0.342,0.588,,0.342,0.705,0.754
42,0.428,0.381,0.764,0.63,0.805,0.7,0.63,0.63,0.428,0.342,0.342,0.63,0.443,0.342,1,0.63,0.48,0.342,0.588,,0.342,0.705,0.754
43,0.428,0.342,0.764,0.588,0.805,0.7,0.63,0.588,0.428,0.342,0.269,0.63,0.342,0.342,1,0.63,0.48,0.342,0.588,,0.342,0.705,0.754
44,0.342,0.342,0.764,0.6,0.805,0.7,0.63,0.588,0.428,0.342,0.269,0.63,0.342,0.254,1,0.529,0.48,0.342,0.588,,0.342,0.705,0.754
45,0.342,0.342,0.764,0.736,0.805,0.7,0.63,0.604,0.428,0.342,0.269,0.63,0.375,0.254,1,0.529,0.536,0.342,0.63,1,0.342,0.63,0.636
46,0.342,0.342,0.475,0.736,0.805,0.805,0.63,0.604,0.428,0.342,0.342,0.602,0.375,0.254,1,0.428,0.588,0.342,0.63,1,0.342,0.63,0.626
47,0.342,0.342,0.475,0.853,0.805,0.805,0.664,0.604,0.428,0.342,0.342,0.492,0.375,0.254,1,0.428,0.588,0.342,0.63,0.406,0.342,0.63,0.626
48,0.293,0.342,0.475,0.853,0.805,0.805,0.664,0.604,0.428,0.342,0.342,0.787,0.48,0.154,1,0.428,0.63,0.342,0.545,0.406,0.342,0.63,0.626
49,0.293,0.342,0.643,0.853,0.805,0.805,0.536,0.805,0,0.133,0.342,0.805,0.476,0.154,1,0.375,0.63,0.443,0.545,0.561,0.342,0.63,
50,0.293,0.342,0.643,0.695,0.63,0.805,0.476,0.805,0.239,0.133,0.342,0.805,0.476,0.154,1,,0.63,0.529,0.545,0.561,0.604,0.63,
51,0.293,0.342,0.643,0.731,0.63,0.805,0.476,0.805,0.334,0.119,0.544,0.805,0.519,0.069,0.906,,0.63,0.529,0.476,0.561,0.783,0.63,
52,0.293,0.342,1,0.756,0.63,0.63,0.476,0.805,0.334,0.254,0.544,0.805,0.519,0.069,0.906,,0.63,0.529,0.529,0.319,0.783,0.63,
53,0.475,0.342,1,0.783,0.63,0.529,0.476,0.805,1,0.254,0.544,0.805,0.519,0.069,0.906,,0.63,0.342,0.529,0.39,0.705,0.588,
54,0.613,0.342,1,0.783,0.63,0.529,0.476,0.805,0.622,0.329,0.342,0.805,0.428,0.069,0.906,,0.529,0.342,0.529,0.408,0.705,0.588,
55,0.536,0.342,1,0.783,0.63,0.529,0.476,0.805,0.622,0.366,0.342,0.63,0.428,0.091,0.805,,0.428,0.342,0.529,0.408,0.705,0.536,
56,0.428,0.342,0.805,0.705,0.63,0.529,0.428,0.805,0.622,0.366,0.342,0.63,0.342,0.154,0.705,,0.428,0.342,0.428,0.408,0.705,0.536,
57,0.428,0.342,0.805,0.63,0.48,0.428,0.476,0.63,0.581,0.366,0.258,0.63,0.342,0.342,0.681,,0.428,0.274,0.428,0.408,0.63,0.536,
58,0.428,0.342,0.805,0.63,0.375,0.342,0.476,0.63,0.581,0.417,0.342,0.63,0.342,0.342,0.681,,0.428,0.274,0.529,0.408,0.63,0.536,
59,0.428,0.342,0.805,0.63,0.375,0.342,0.428,0.63,0.581,0.457,0.342,0.63,0.342,0.342,0.681,0.342,0.375,0.342,0.529,0.48,0.529,0.48,
60,0.428,0.342,0.805,0.63,0.375,0.342,0.342,0.63,0.581,0.375,0.342,0.84,0.342,0.342,0.681,0.342,0.529,0.342,0.604,0.536,0.529,0.48,
61,0.428,0.342,0.805,0.63,0.375,0.342,0.342,0.63,0,0.375,0.342,1,0.342,0.342,0.588,0.342,0.529,0.342,0.671,0.428,0.529,0.48,
62,0.342,0.342,0.805,0.63,0.375,0.342,0.342,0.529,0.63,0.375,0.342,0.805,0.342,0.342,0.588,0.342,0.529,0.342,0.588,0.428,0.428,0.293,
